idx,caption,owner,commenter,comment,label,role
24,Hacked,kidred,itsiish_,fOrreals??___«±___«±___«±___«± sO this 50???  (created at:2012-05-18 02:11:59),,
24,Hacked,kidred,el_cool_j,"Lmao see yawl this why I love 50, that's my baby right there  (created at:2012-05-18 02:12:55)",,
24,Hacked,kidred,kidred,Bitch get out my shit @50cent  (created at:2012-05-18 02:13:41),,
24,Hacked,kidred,kidred,@kidred what ya gonna do about it?  (created at:2012-05-18 02:14:31),,
24,Hacked,kidred,kidred,@el_cool_j waz good baby?  (created at:2012-05-18 02:14:50),,
24,Hacked,kidred,el_cool_j,Lmao hey baby  (created at:2012-05-18 02:16:20),,
24,Hacked,kidred,itsiish_,@kidred You a Real Nigga u gOt 50 on yOu __î«__î«__î«__î« Keep up th gOod wOrk BD  (created at:2012-05-18 02:16:44),,
24,Hacked,kidred,bws_gibbonz,Fuck 50 bent ha he gay bro and @kidred is long #SayNoMore #moneygang  (created at:2012-05-18 02:19:17),,
24,Hacked,kidred,alyxdjuric,Fuck fifty  (created at:2012-05-18 02:20:05),,
24,Hacked,kidred,mykadale,@kidred fuck 50 Snitch  (created at:2012-05-18 02:22:40),,
24,Hacked,kidred,jackcarter23,Goo fifff @50cent  (created at:2012-05-18 02:22:43),,
24,Hacked,kidred,jojefe23,So 50 mad u fuked his bytch lol.. @kidred  (created at:2012-05-18 02:23:34),,
24,Hacked,kidred,la_gach,Stop snitchin stop lyin fifty..... Fuckin rat  (created at:2012-05-18 02:24:41),,
24,Hacked,kidred,kidred,@50 youz a hoe !!!  (created at:2012-05-18 02:25:54),,
24,Hacked,kidred,noelanimfngi,Wow this childish AF  (created at:2012-05-18 02:33:41),,
24,Hacked,kidred,kidred,"@kidred I'm a hoe? Yet I was named the richest rapper in 2010 and the biggest entrepreneur of 2012? Cool story bro, I mean ""bruh"". Enjoy feeding off of Game's little fame he has left becuz of me. G unit in this bitch!  (created at:2012-05-18 02:36:35)",,
24,Hacked,kidred,admire_angel,Is this serious  (created at:2012-05-18 02:36:51),,
24,Hacked,kidred,zachpetersen,Ahaha I don't think that's fifty  (created at:2012-05-18 02:45:45),,
24,Hacked,kidred,stavrou23,All the dye he puts in his head is finally getting to him. @kidred you're tripping nigga  (created at:2012-05-18 02:51:14),,
24,Hacked,kidred,_tamiqua,I don't think 50 knows how to use grammar that well lol  (created at:2012-05-18 02:56:41),,
24,Hacked,kidred,admire_angel,@stavrou23 yo white ass should be the last person saying nigga have some respect & it's obvious some fix head hacked his page ! It isn't him ________  (created at:2012-05-18 03:04:33),,
24,Hacked,kidred,admire_angel,Dick *  (created at:2012-05-18 03:04:59),,
24,Hacked,kidred,markibra,Yeh agree @admire_angel. What a massive fix head. :-)  (created at:2012-05-18 03:14:01),,
24,Hacked,kidred,admire_angel,@markibra as u can see I ment dick head ! Are u part of the crew to ?! ____  (created at:2012-05-18 03:16:03),,
24,Hacked,kidred,markibra,No not part of any crew. Just bored...  (created at:2012-05-18 03:20:05),,
24,Hacked,kidred,kidred,@markibra I'll see u in the office bro  (created at:2012-05-18 03:20:46),,
24,Hacked,kidred,divarko,Fuccck u 50 ! U ain't got nuttin on kid red  (created at:2012-05-18 05:16:57),,
24,Hacked,kidred,emsamiller,whaaaaaat  (created at:2012-05-18 05:30:59),,
24,Hacked,kidred,stavrou23,@admire_angel ill say whatever the fuck I want. #FreedomOfSpeech  (created at:2012-05-19 02:15:13),,
24,Hacked,kidred,admire_angel,@stavrou23 fuck u and your so called freedom of speech BITCH___«£  (created at:2012-05-19 02:28:15),,
199,I make this jabroni humble? Tell me bubba,therealironsheik,gotosleep_,Yes! He is punk. He is fag. He suck the Hulk Hogan dick.  (created at:2013-03-14 18:19:41),,
199,I make this jabroni humble? Tell me bubba,therealironsheik,stuart_mcdonagh,Break his back. Be tall or go fuck yourself #teamsheikie  (created at:2013-03-14 18:19:58),,
199,I make this jabroni humble? Tell me bubba,therealironsheik,ajrhodes26,@therealironsheik he a no good motherfucker piece of shit .. Fuck his ass sheik  (created at:2013-03-14 18:22:09),,
199,I make this jabroni humble? Tell me bubba,therealironsheik,belz45,"He no good cocksucker like new pope. Break his back, make him humble.  (created at:2013-03-14 18:28:06)",,
199,I make this jabroni humble? Tell me bubba,therealironsheik,dennis_ds85,Worse than the virgil  (created at:2013-03-14 18:40:33),,
199,I make this jabroni humble? Tell me bubba,therealironsheik,joseph_patrick,Def. worse than the Virgil!  (created at:2013-03-14 18:58:01),,
199,I make this jabroni humble? Tell me bubba,therealironsheik,cpgirouard,You break his back make him humble  (created at:2013-03-14 18:59:35),,
199,I make this jabroni humble? Tell me bubba,therealironsheik,iamdno,Put hin in camel clutch humble him old country style  (created at:2013-03-14 19:17:53),,
199,I make this jabroni humble? Tell me bubba,therealironsheik,reallf,Put him in the camel clutch. Break his back.  (created at:2013-03-14 19:22:12),,
199,I make this jabroni humble? Tell me bubba,therealironsheik,mrossi623,Drink the beers with him. Maybe smoke the marijuana  (created at:2013-03-14 20:14:13),,
199,I make this jabroni humble? Tell me bubba,therealironsheik,jogredizzle,Jesus christ what a mingin beard  (created at:2013-03-14 21:14:20),,
199,I make this jabroni humble? Tell me bubba,therealironsheik,ajzman44,That midget can go fuck himself. @flykickz23 @ezblueeyes @ericaarosee  (created at:2013-03-14 22:06:29),,
199,I make this jabroni humble? Tell me bubba,therealironsheik,smutlife,"@therealironsheik Happy Birthday... And yeah, fuck a midget in the arse!  (created at:2013-03-15 13:34:36)",,
199,I make this jabroni humble? Tell me bubba,therealironsheik,therealironsheik,Yeaa  (created at:2013-04-04 14:22:33),,
199,I make this jabroni humble? Tell me bubba,therealironsheik,mohd_aldosery,Bubbu  (created at:2013-06-23 04:56:33),,
199,I make this jabroni humble? Tell me bubba,therealironsheik,brian_affronti,Lol @jeffbeacher is that Donnie?  (created at:2013-08-06 06:52:42),,
199,I make this jabroni humble? Tell me bubba,therealironsheik,thedaveneos,Yes that fucking no good janeiro  (created at:2013-12-06 20:37:34),,
199,I make this jabroni humble? Tell me bubba,therealironsheik,thedaveneos,Jabroni  (created at:2013-12-06 20:37:43),,
199,I make this jabroni humble? Tell me bubba,therealironsheik,bmoneysaul,@@therealironsheik where can you buy that sheik shirt jes wearing?  (created at:2014-05-01 09:48:45),,
